Customer ID,State,Location Code,Gender,Marital Status,Education,Employment Status,Income (USD)
AC22873,Arizona,Suburban,1,Married,High School or Below,Medical Leave,"$17,120.00 "
GI36262,Washington,Suburban,1,Married,College,Employed,"$65,247.00 "
KU14261,Arizona,Urban,1,Married,Master,Employed,"$38,179.00 "
CP66511,Oregon,Urban,0,Married,High School or Below,Employed,"$92,038.00 "
JV58396,California,Suburban,0,Single,Bachelor,Unemployed,NILL
UG18431,Arizona,Suburban,0,Married,Bachelor,Employed,"$73,060.00 "
YO11701,Oregon,Suburban,0,Married,High School or Below,Employed,"$53,231.00 "
OI92280,Oregon,Suburban,1,Single,College,Disabled,"$12,180.00 "
EE57466,Arizona,Suburban,1,Divorced,High School or Below,Retired,"$22,283.00 "
QO61775,California,Rural,0,Single,Master,Employed,"$79,453.00 "
CB44654,Arizona,Urban,0,Single,Bachelor,Employed,"$59,665.00 "
LJ79533,Nevada,Suburban,1,Married,High School or Below,Disabled,"$11,432.00 "
AX71238,California,Suburban,0,Divorced,High School or Below,Employed,"$38,096.00 "
CX89767,California,Urban,1,Married,High School or Below,Employed,"$46,097.00 "
HR42454,Washington,Suburban,1,Married,High School or Below,Employed,"$88,706.00 "
OI48534,California,Rural,1,Single,High School or Below,Employed,"$98,338.00 "
ZH43085,Washington,Suburban,0,Single,High School or Below,Unemployed,NILL
HW62747,Oregon,Suburban,0,Married,College,Unemployed,NILL
MG99229,Oregon,Suburban,0,Single,College,Unemployed,NILL
FO82261,Oregon,Urban,0,Single,College,Employed,"$66,161.00 "
OM73267,California,Suburban,1,Married,High School or Below,Employed,"$69,545.00 "
LQ13873,Nevada,Suburban,0,Married,High School or Below,Employed,"$53,565.00 "
FX55923,Arizona,Rural,0,Divorced,Bachelor,Employed,"$50,405.00 "
HI14283,Oregon,Suburban,1,Married,Bachelor,Unemployed,NILL
RQ19236,Arizona,Urban,0,Married,Doctor,Employed,"$55,411.00 "
ON77649,$$$,Urban,1,Married,College,Employed,"$35,895.00 "
DM74502,Nevada,Suburban,1,Married,College,Employed,"$93,087.00 "
WZ63975,California,Suburban,1,Married,High School or Below,Medical Leave,"$22,319.00 "
HD95276,Washington,Rural,1,Married,College,Unemployed,NILL
LS59408,Arizona,Suburban,0,Married,High School or Below,Unemployed,NILL
FQ66070,California,Urban,0,Married,College,Employed,"$62,076.00 "
UY85263,Nevada,Urban,1,Married,Bachelor,Employed,"$88,858.00 "
OJ94107,Arizona,Urban,0,Married,Master,Employed,"$50,335.00 "
PQ13422,Nevada,Suburban,0,Married,College,Employed,"$58,194.00 "
CA54112,Nevada,Rural,0,Married,Doctor,Employed,"$47,725.00 "
QA49556,Washington,Suburban,0,Single,Master,Employed,"$23,401.00 "
AT30076,Nevada,Suburban,1,Single,High School or Below,Employed,"$31,727.00 "
SM80235,Oregon,Suburban,0,Single,High School or Below,Employed,"$62,302.00 "
TB88830,California,Rural,1,Married,Master,Employed,"$64,220.00 "
OW68478,California,Suburban,0,Single,High School or Below,Medical Leave,"$17,101.00 "
DS50601,Nevada,Suburban,0,Married,Bachelor,Employed,"$98,192.00 "
YX36936,Arizona,Rural,0,Married,College,Employed,"$39,621.00 "
OB21477,Oregon,Suburban,0,Married,College,Employed,"$53,437.00 "
QA78691,Nevada,Suburban,1,Single,Bachelor,Unemployed,NILL
UN50538,Oregon,Urban,1,Married,Bachelor,Employed,"$72,667.00 "
CO44221,California,Suburban,0,Married,College,Employed,"$98,473.00 "
ME11422,California,Suburban,0,Married,College,Unemployed,NILL
GI46001,California,Suburban,1,Divorced,Bachelor,Unemployed,NILL
RF58958,California,Suburban,0,Single,High School or Below,Unemployed,NILL
MO41014,Arizona,Rural,0,Married,Bachelor,Employed,"$86,305.00 "
US30122,California,Suburban,0,Single,College,Unemployed,NILL
JC33752,Oregon,Suburban,1,Single,College,Employed,"$21,024.00 "
GY99465,Oregon,Suburban,1,Single,College,Unemployed,NILL
ME84824,Arizona,Suburban,0,Single,College,Employed,"$66,839.00 "
LT24477,California,Rural,0,Married,High School or Below,Employed,"$47,589.00 "
DK20428,Oregon,Rural,0,Married,Bachelor,Employed,"$26,094.00 "
